source,id,category,description,name,number_reviews,number_sold,original_price,price
tiki.vn,509829,Giấy in - Fax - Photo,"<ul><li><strong>Giấy Double A A4 DL70</strong> với kích thước A4, thân thiện với môi trường và thích hợp với hầu hết các loại máy in phun, máy in laser, máy fax laser, máy photocopy.</li>
<li>Sản phẩm thiết kế khổ giấy A4, thích hợp sử dụng làm giấy in, photo trong các văn phòng hoặc trong gia đình. Bạn cũng có thể sử dụng để viết, vẽ sơ đồ hoặc phác thảo các bản vẽ một cách đơn giản và nhanh chóng.</li>
<li>Giấy có bề dày tốt, bề mặt láng mịn, độ cản quang của giấy cao hơn do đó giảm hiện tượng nhìn thấu trang và cho phép sử dụng cả hai mặt giấy một cách toàn diện nhất.</li>
<li>Chất liệu giấy an toàn, không chứa chất gây độc hại và mùi khó chịu, thân thiện với môi trường và giúp bảo vệ sức khỏe người dùng, đặc biệt là mắt. Giấy mịn, bắt mực êm</li>
</ul><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",Giấy Double A A4 DL70,309,4878,96000,93100
tiki.vn,540039,Nhà Sách Tiki,"<p><strong>Giáo Trình Chuẩn HSK 1 - Bài Học</strong></p>
<p>Được chia thành 6 cấp độ với tổng cộng 18 cuốn, Giáo trình chuẩn HSK có những đặc điểm nổi bật sau:</p>
<p>• Kết hợp thi cử và giảng dạy: Được biên soạn phù hợp với nội dung, hình thức cũng như các cấp độ của đề thi HSK thật, bộ sách này có thể được sử dụng đồng thời cho cả hai mục đích là giảng dạy tiếng Trung Quốc và luyện thi HSK. • Bố cục chặt chẽ và khoa học: Các điểm ngữ pháp được giải thích cặn kẽ, phần ngữ âm và chữ Hán được trình bày từ đơn giản đến phức tạp theo từng cấp độ.</p>
<p>• Đề tài quen thuộc, nhiều tình huống thực tế: Bài học được thiết kế không quá dài và đề cập đến nhiều tình huống (có file MP3 kèm theo), giúp bạn rèn luyện các kỹ năng ngôn ngữ và tránh cảm giác căng thẳng trong lúc học. • Cách viết thú vị: Bằng cách viết sinh động kèm nhiều hình ảnh minh họa, tác giả bộ sách chỉ cho bạn thấy học tiếng Trung Quốc không hề khô khan, nhàm chán.</p>
<p>Với nhiều ưu điểm nổi bật như vừa nêu, Giáo trình chuẩn HSK không chỉ là tài liệu giảng dạy hữu ích ở các trung tâm dạy tiếng Trung Quốc mà còn rất thích hợp với những người muốn tự học ngôn ngữ này.</p>
<p><em><strong>Lưu ý: Quét mã QR hoặc truy cập vào trang web phía sau sách để tải file MP3</strong></em></p><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm file MP3),931,7991,198000,147000
tiki.vn,601472,Root,"<h3>Cổ Tích Việt Nam Bằng Thơ (Ấn Bản Kỉ Niệm 60 Năm NXB Kim Đồng) - Dành cho bé 6 - 11 tuổi</h3>
<h3>Giới thiệu tác giả</h3>
<ul>
<li>Thái Bá Tân, ông sinh năm 1949 ở Nghệ An. Ông từng dạy tiếng Anh và văn học Anh tại Đại học Sư phạm ngoại ngữ Hà Nội, làm biên tập viên tại Nhà xuất bản Lao Động… Ông hoạt động trên nhiều lĩnh vực: dịch thuật, viết văn, sáng tác thơ… và hầu như lĩnh vực nào cũng đạt thành tựu đáng kể.</li>
<li>Những năm gần đây, ông viết nhiều thơ nhằm phổ cập các giá trị văn hóa, tôn giáo như: Các vị vua Việt, Truyện cổ Phật giáo, Việt Nam lược sử diễn ca…</li>
<li>Cổ tích Việt Nam bằng thơ tập hợp những cổ tích kinh điển của Việt Nam như Tấm Cám, Thánh Gióng, Thạch Sanh…</li>
</ul>
<h3>Giới thiệu sách</h3>
<ul>
<li>Cùng ngược dòng thời gian để tìm về kí ức tuổi thơ trong trẻo trong thế giới của những câu chuyện cổ tích thần tiên! Nối tiếp thành công của ""Cổ tích thế giới bằng thơ"". Cổ Tích Việt Nam Bằng Thơ - cuốn truyện thơ tập hợp các tác phẩm kinh điển trong kho tàng cổ tích Việt Nam như Thánh Gióng, Tấm Cám, Thạch Sanh… Những câu chuyện đã được bao thế hệ người Việt thuộc nằm lòng nay được chuyển sang thể thơ năm chữ dưới ngòi bút của tác giả Thái Bá Tân với minh hoạ kì công của hoạ sĩ Chu Linh Hoàng. Những nét vẽ ấm áp, thuần Việt, như được phủ một màn sương cổ tích, nên thơ trong cuốn sách này sẽ đưa bạn tìm về những câu chuyện dân gian xa xưa, thân thuộc, và ẩn chứa nhiều bài học nhân sinh sâu sắc.</li>
</ul>
<h3>Mục lục</h3>
<h3><img src=""https://salt.tikicdn.com/ts/tmp/e9/e6/bc/37a575a6f03c83933de9571c0b892589.png"" alt="""" width=""750"" height=""375"" /></h3>
<h3>Tóm tắt nội dung</h3>
<ul>
<li>Sách ""Cổ tích Việt Nam bằng thơ"" của tác giả Thái Bá Tân là một tập hợp những câu chuyện cổ tích kinh điển của Việt Nam như Tấm Cám, Thạch Sanh, Thánh Gióng,... được chuyển thể thành thơ năm chữ một cách sinh động và dễ hiểu.</li>
<li>Cuốn sách mang đến cho độc giả nhỏ tuổi một hành trình khám phá thế giới cổ tích Việt Nam đầy màu sắc. Qua từng câu chuyện, trẻ em sẽ được gặp gỡ những nhân vật quen thuộc như nàng Tấm hiền lành, chàng Thạch Sanh dũng cảm, vị thần Sơn Tinh,... và cùng họ trải qua những cuộc phiêu lưu kỳ thú.</li>
</ul>
<h3>Trích đoạn</h3>
<p><img src=""https://salt.tikicdn.com/ts/tmp/bd/74/db/d36c85c7630da190f6d239568b082792.png"" alt="""" width=""750"" height=""748"" /></p>
<h3>Ưu điểm</h3>
<ul>
<li>Các câu chuyện cổ tích Việt Nam như Tấm Cám, Thánh Gióng, Thạch Sanh... là những câu chuyện mà hầu hết các bé đều biết đến, giúp trẻ cảm thấy gần gũi và thích thú.</li>
<li>Qua những câu chuyện cổ tích, trẻ sẽ được học hỏi những bài học về đạo đức, lòng nhân ái, sự thông minh và dũng cảm. Trẻ được tiếp xúc với nhiều từ ngữ mới, cách diễn đạt sinh động, giúp vốn từ vựng phong phú hơn.</li>
<li>Những câu chuyện cổ tích kích thích trí tưởng tượng của trẻ, giúp trẻ sáng tạo và khám phá thế giới xung quanh. Trẻ học được cách yêu thương, chia sẻ, cảm thông với những người xung quanh.</li>
<li>Những câu chuyện cổ tích truyền tải những giá trị tốt đẹp, giúp trẻ hình thành nhân cách tốt.</li>
</ul><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",Cổ Tích Việt Nam Bằng Thơ (Ấn Bản Kỉ Niệm 60 Năm NXB Kim Đồng),4,43,118350,118350
tiki.vn,641906,Tiểu Thuyết Phương Đông,"<p><!-- td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;} --><strong>Bí Mật Của Naoko</strong></p>
<p><strong></strong>Cuộc sống của Hirasule trôi qua hết sức bình lặng, cho đến một ngày tai nạn giao thông khủng khiếp xảy ra và gã mất đi người vợ yêu quý nhất của mình, còn đứa con gái bé bỏng vẫn trong tình trạng hôn mê bất tỉnh. Nhưng chỉ sau một đêm, con gái gã tỉnh lại và một mực xưng mình là Naoko, vợ gã. Dường như linh hồn của Naoko đã nhập vào thể xác con gái, còn Monami thực sự đã chết. Rốt cuộc Hirasuke đã mất vợ hay con gái trong vụ tai nạn ấy?</p>
<p>Bí mật của Naoko đã giành Giải thưởng của Hiệp hội các Nhà văn viết truyện kỳ bí Nhật Bản vào năm 1999, và là một trong những tác phẩm quan trọng nhất trong sự nghiệp của Higashino Keigo, bậc thầy truyện trinh thám Nhật thế kỷ XX.</p><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",Bí Mật Của Naoko,63,291,108000,97200
tiki.vn,648672,Văn học thiếu nhi,"<h3 class="""" data-sourcepos=""7:1-7:20"">Tóm tắt nội dung</h3>
<ul data-sourcepos=""9:1-10:28"">
<li data-sourcepos=""9:1-9:189""><strong>Cuộc sống lưu lạc của cậu bé An:</strong> Câu chuyện xoay quanh cuộc đời phiêu lưu đầy thú vị của cậu bé An khi phải rời xa gia đình và bắt đầu một cuộc hành trình khám phá miền Tây sông nước.</li>
<li data-sourcepos=""10:1-10:28""><strong>Vùng đất rừng phương Nam kỳ thú:</strong> Qua từng trang sách, người đọc sẽ được khám phá một thế giới tự nhiên hoang sơ, kỳ thú với những cánh rừng tràm bạt ngàn, những con sông uốn lượn và cuộc sống đa dạng của các loài động vật.</li>
<li data-sourcepos=""11:1-12:0""><strong>Những con người chất phác, giàu tình cảm:</strong> Cậu bé An đã gặp gỡ và kết bạn với nhiều người tốt bụng, họ đã giúp đỡ và chia sẻ với cậu trong suốt cuộc hành trình.</li>
</ul>
<h3 class="""" data-sourcepos=""13:1-13:22"">Các nhân vật chính</h3>
<ul data-sourcepos=""15:1-16:7"">
<li data-sourcepos=""15:1-15:61""><strong>An:</strong> Một cậu bé thông minh, dũng cảm và giàu lòng tò mò.</li>
<li data-sourcepos=""16:1-16:7""><strong>Cha nuôi:</strong> Một người đàn ông tốt bụng, yêu thương và dạy cho An nhiều điều bổ ích.</li>
<li data-sourcepos=""17:1-17:76""><strong>Cậu bé Cò:</strong> Một người bạn đồng hành trung thành và đáng tin cậy của An.</li>
<li data-sourcepos=""18:1-19:0""><strong>Chú Võ Tòng:</strong> Một người đàn ông mạnh mẽ, bảo vệ An và bạn bè khỏi những nguy hiểm.</li>
</ul>
<h3 class="""" data-sourcepos=""20:1-20:29"">Điểm nổi bật của tác phẩm</h3>
<ul data-sourcepos=""22:1-23:52"">
<li data-sourcepos=""22:1-22:122""><strong>Cốt truyện hấp dẫn, lôi cuốn:</strong> Câu chuyện phiêu lưu của cậu bé An luôn tạo ra những bất ngờ và hồi hộp cho người đọc.</li>
<li data-sourcepos=""23:1-23:52""><strong>Miêu tả sinh động về thiên nhiên và con người:</strong> Tác giả Đoàn Giỏi đã sử dụng ngòi bút tài hoa để vẽ nên một bức tranh sống động về miền Tây sông nước.</li>
<li data-sourcepos=""24:1-24:142""><strong>Giá trị nhân văn sâu sắc:</strong> Cuốn sách đề cao những phẩm chất tốt đẹp của con người như tình yêu thương, lòng dũng cảm, tinh thần đoàn kết.</li>
<li data-sourcepos=""25:1-26:0""><strong>Ngôn ngữ trong sáng, dễ hiểu:</strong> Ngôn ngữ của tác phẩm gần gũi, phù hợp với nhiều đối tượng độc giả, đặc biệt là các bạn nhỏ.</li>
</ul>
<h3 class="""" data-sourcepos=""27:1-27:24"">Giá trị của tác phẩm</h3>
<ul data-sourcepos=""29:1-29:48"">
<li data-sourcepos=""29:1-29:48""><strong>Góp phần làm phong phú thêm kho tàng văn học thiếu nhi Việt Nam.</strong></li>
<li data-sourcepos=""30:1-30:90""><strong>Giúp độc giả hiểu hơn về cuộc sống, con người và thiên nhiên của miền Tây sông nước.</strong></li>
<li data-sourcepos=""31:1-32:0""><strong>Truyền cảm hứng cho các bạn trẻ về tình yêu quê hương đất nước.</strong></li>
</ul>
<h3 class="""" data-sourcepos=""33:1-33:22"">Giới thiệu tác giả</h3>
<p data-sourcepos=""35:1-35:281"">Đoàn Giỏi là một nhà văn Việt Nam nổi tiếng với những tác phẩm văn học thiếu nhi đặc sắc. Ông được biết đến nhiều nhất với cuốn sách ""Đất Rừng Phương Nam"". Tác phẩm của ông thường mang đậm chất Nam Bộ, với những miêu tả chân thực về cuộc sống, con người và thiên nhiên của vùng đất này.</p>
<h3 class="""" data-sourcepos=""37:1-37:14"">Trích đoạn</h3>
<p data-sourcepos=""39:1-39:239""><em class="""">“Rừng U Minh mênh mông, cây cối um tùm, nắng không lọt, gió không vào. Mấy trăm mẫu đất ngập nước quanh năm, cá tôm đầy rẫy, chim muông rất nhiều. Rừng U Minh là một thế giới riêng biệt, một thế giới mà con người ta ít khi đặt chân đến.”</em></p>
<p data-sourcepos=""41:1-41:122"">Đoạn trích này miêu tả sinh động vẻ đẹp hoang sơ, kỳ bí của rừng U Minh - một trong những địa danh nổi bật trong tác phẩm.</p><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",Đất Rừng Phương Nam (Tái Bản),208,2395,81000,60800
tiki.vn,750578,Sách tiếng Việt,"<p><strong> Khi Hơi Thở Hóa Thinh Không </strong> là tự truyện của một bác sĩ bị mắc bệnh ung thư phổi. Trong cuốn sách này, tác giả đã chia sẻ những trải nghiệm từ khi mới     bắt đầu học ngành y, tiếp xúc với bệnh nhân cho tới khi phát hiện ra mình bị ung thư và phải điều trị lâu dài.</p>
<p>Kalanithi rất yêu thích văn chương nên câu chuyện của anh đã được thuật lại theo một phong cách mượt mà, dung dị và đầy     cảm xúc. Độc giả cũng được hiểu thêm về triết lý sống, triết lý nghề y của Kalanithi, thông qua ký ức về những ngày anh còn     là sinh viên, rồi thực tập, cho đến khi chính thức hành nghề phẫu thuật thần kinh. “Đối với bệnh nhân và gia đình, phẫu thuật     não là sự kiện bi thảm nhất mà họ từng phải đối mặt và nó có tác động như bất kỳ một biến cố lớn lao trong đời. Trong những     thời điểm nguy cấp đó, câu hỏi không chỉ đơn thuần là sống hay chết mà còn là cuộc sống nào đáng sống.” – Kalanithi luôn     biết cách đưa vào câu chuyện những suy nghĩ sâu sắc và đầy sự đồng cảm như thế.</p>
<p>Bạn bè và gia đình đã dành tặng những lời trìu mến nhất cho con người đáng kính trọng cả về tài năng lẫn nhân cách này.     Dù không thể vượt qua cơn bệnh nan y, nhưng thông điệp của tác giả sẽ còn khiến người đọc nhớ mãi.</p><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",Khi Hơi Thở Hóa Thinh Không,2266,61777,109000,76200
tiki.vn,1667307,Kinh tế chính trị,"<p><strong>Quân Vương – Thuật Cai Trị (Tái Bản 2018)</strong> là cuốn sách gối đầu giường của rất nhiều thế hệ chính trị gia và lãnh đạo trên thế giới.</p>
<p>Cuốn sách nhỏ của Niccolò Machiavelli đã hội tự những nguyên tắc làm nền móng cho khoa học quản trị nói chung và chính trị học nói riêng.</p>
<p>Người ta sẽ luôn đọc Quân vương chừng nào con người vẫn chưa thôi trò chơi nguy hiểm nhưng hấp dẫn có cái tên ""chính trị"".</p>
<p>Qua cuốn sách, độc giả sẽ tìm ra chân dung một vị quân vương hình mẫu : keo kiệt hay rộng lượng, độc ác hay nhân từ, thất hứa hay giữ lời nếu lời hứa đi ngược lại lợi ích của mình, phải làm gì để tránh bị dân chúng căm ghét, phải thực thi những hành động lớn lao để nâng cao uy tín của mình.</p>
<p>Cuốn sách bàn về khoa học chính trị của nhà ngoại giao, nhà triết học và nhà quân sự người Ý – Niccolò Machiavelli. Xuất hiện lần đầu tiên vào năm 1513 nhưng mãi đến năm 1532, ấn bản đầu tiên mới được chính thức xuất bản dưới sự cho phép của Giáo hoàng Clement VII.</p>
<div> </div><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",Quân Vương – Thuật Cai Trị (Tái Bản),24,114,109000,77300
tiki.vn,1702825,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,"<p><strong>Hóa Thân</strong></p>
<p>""Một sáng tỉnh giấc sau những giấc mơ xáo động, Gregor Samsa, nằm trên giường, nhận thấy mình đã biến thành một con côn trùng khổng lồ. Anh nằm ngửa trên cái lưng rắn như thể được bọc giáp sắt, và khi dợm nhấc đầu lên, anh nhìn thấy bụng mình khum tròn, nâu bóng, phân chia làm nhiều đốt cong cứng đờ, tấm chăn bong đắp trên bụng đã bị xô lệch, gần tuột hẳn. Chân anh nhiều ra, mảnh khảnh đến thảm hại so với phần còn lại của thân hình to đùng, vung vẩy bất lực trước mắt anh.""</p><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",Hóa Thân (Tái Bản),158,2634,54000,35100
tiki.vn,2619499,Sách tư duy - Kỹ năng sống,"<p><strong>​Liễu Phàm Tứ Huấn (Tái Bản 2018)</strong></p>
<p>Là cuốn sách được lưu truyền rộng rãi trong dân gian Trung Quốc từ bao đời nay. Liễu Phàm tiên sinh là bậc học rộng, ngay từ nhỏ đã say mê nghiên cứu sách vở, sau đỗ đạt làm quan, thực hiện nhiều điều ích nước lợi dân, được nhiều người biết đến. Nhưng Liễu Phàm thực sự lưu danh không chỉ vì ông là vị quan cương trực, đuợc nhân dân yêu mến, có nhiều công lao với triều đình, mà hơn hết là vì ông đã dành nhiều tâm huyết cũng như chí hướng của đời mình để soạn ra bốn chương đoản văn, bấy giờ gọi là “Giới tử văn” (văn răn dạy con) để dạy con mình, sau đó được lưu hành rộng rãi trong đời, tức là sách “Bốn bài giáo huấn của ngưòi xưa” mà bạn đang có trong tay.</p>
<p>Đọc sách của người xưa, cảm nhận cái hay cái quí trong tư tưởng của ngưòi xưa, từ đó thực hành theo sách, giúp chúng ta hành thiện lánh ác, phát huy đức khiêm tốn, biết hối cải lỗi lầm, từ đó có được cách lập thân đúng đắn là mong ước của chúng tôi muốn chuyển cho quí vị tấm lòng muốn làm việc thiện muốn giúp người, giúp đời ngày một tốt đẹp hơn đã thúc đẩy chúng tôi bỏ nhiều tâm lực để hoàn thành cuốn sách. Mong nhận được từ quí vị nhiều tri âm, tri kỷ qua cuốn sách nhỏ này.</p>
<p>“ Bốn bài dạy của Liễu Phàm” vốn là bốn chương đoản văn của Cư sĩ Liễu Phàm đời Minh, có tên là Giới tử văn (văn dạy con ), sau được lưu truyền trong dân gian hơn 5 thế kỷ qua với tựa đề là Liễu Phàm tứ huấn. Ông đã lấy cuộc đời ông, một con người thông đạt đủ các môn khoa học đã học hành, làm quan và đặt biệt là một tấm gương đạo đức, trí tuệ và hiền thiện để khuyên dạy con nhưng chủ yếu là khuyên dạy người đời. Đây là một tác phẩm lấy giáo lý Phật Giáo làm căn bản để triển khai việc tu thân, sống đạo đức và hành thiện giúp đời.</p><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",​Liễu Phàm Tứ Huấn (Tái Bản 2018),259,4563,59000,44300
tiki.vn,3014291,Máy Tính Khoa Học,"<p style=""text-align:center;""><iframe src=""//www.youtube.com/embed/56ndEgi0udw"" width=""750"" height=""421"" allowfullscreen=""""></iframe><br />Phân biệt hàng thật/giả</p>
<h1>Bộ Máy Tính Casio FX 580 VN X - Màu Đen + 2 Bút Bi Pilot BP-1RT - Mực Xanh</h1>
<ul>
<li><strong>Máy tính CASIO FX-580VN X</strong> là sản phẩm thuộc dòng máy ClassWiz sở hữu màn hình có độ phân giải cao vượt trội, giúp người dùng có thể dễ dàng xem các công thức và biểu tượng toán học một cách đơn giản.</li>
<li>Độ phân giải của màn hình của FX-580VN X được tăng gấp 4 lần, hỗ trợ tăng lượng thông tin hiển thị cũng như cải thiện tính tiện dụng của sản phẩm.</li>
<li>Máy có thể hiển thị số lượng ký tự gấp 2 lần ở kích thước bình thường và 6 lần ở kích thước nhỏ trên màn hình so với những dòng máy ES Plus trước đó.<strong><br /><img src=""https://vcdn.tikicdn.com/ts/tmp/a1/aa/59/ff49dde513f66eff396cea5d08470fd2.jpg"" alt="""" width=""550"" height=""550"" /></strong></li>
</ul>
<p><img src=""https://salt.tikicdn.com/ts/product/18/54/6f/457d9cc5dbbbbc3c823cd6cca8ce876c.jpg"" alt="""" width=""750"" height=""613"" /></p>
<p style=""text-align:center;""><strong>Độ phân giải của dòng ClassWiz cao hơn ES Plus</strong></p>
<ul>
<li>Màn hình LCD độ phân giải cao giúp người dùng có thể dễ dàng nhìn thấy các hiển thị trên màn hình trong mọi điều kiện ánh sáng, kể cả trong phòng tối hoặc ngoài trời nắng.</li>
<li>Màn hình LCD tốn ít dung lượng pin và ít ảnh hưởng đến sức khỏe của người dùng, tối ưu cho góc xem thẳng phía trên. Ngoài ra, màn hình cũng tạo được hiệu ứng mờ, hạn chế tình trạng mỏi mắt khi sử dụng.</li>
<li>Chiếc máy tính CASIO FX-580VN X rất thân thiện, dễ sử dụng; người dùng có thể tận dụng đầy đủ các tính năng hiển thị với giao diện dễ dùng cùng thiết kế kiểu dáng hiện đại, tiên tiến. </li>
<li>CASIO FX-580VN X là màn hình LCD có độ phân giải cao với giao diện máy dễ sử dụng. Tất cả các ký hiểu, biểu tượng sẽ được hiển thị rõ ràng trên màn hình máy tính. Bằng việc sử dụng biểu tượng trên màn hình menu, người dùng có thể dễ dàng lựa chọn những chức năng mình mong muốn một cách nhanh chóng.</li>
<li>Ngoài ra, hầu các từ tiếng Anh xuất hiện trên màn hình chiếc máy FX-580VN X đều ở dạng đầy đủ chứ không viết tắt nên rất dễ hiểu, giúp nâng cao khả năng ngoại ngữ khi sử dụng máy. Màn hình menu cũng tương tác hỗ trợ nhiều các thao tác trực quan hơn những dòng máy trước.</li>
</ul>
<p><img src=""https://salt.tikicdn.com/ts/product/04/42/2a/4f4aae37e9e59eddaba817ff0fd0f35a.jpg"" alt=""MÃ¡y tÃ­nh CASIO FX 580VNX"" width=""750"" height=""570"" /></p>
<p style=""text-align:center;""><strong>Giao diện dễ hiểu của CASIO FX-580VN X</strong></p>
<ul>
<li>Sở hữu một bộ xử lý hiệu suất cao và dung lượng bộ nhớ lớn gấp 2 lần các dòng máy trước đảm bảo tốc độ hoạt động nhanh và khả năng tính toán vượt trội.</li>
<li>Trong những dòng máy tính được phép sử dụng trong trường học thì FX-580VN X là chiếc máy tính dẫn đầu với số lượng tính năng lên tới 521 tính năng. Máy đã bổ sung thêm nhiều chức năng tính toán cực hay mà những chiếc máy tính CASIO trước đây chưa có.</li>
<li>Chiếc máy tính FX-580VN X sở hữu màn hình độ phân giải cao, cụ thể là 192 x 63 điểm nên có khả năng hiển thị rõ ràng các hệ phương trình và nội dung.</li>
<li>Đi kèm với ưu điểm đó là khả năng tính toán tốc độ cao, tiện dụng khi sử dụng trong lớp học và đặc biệt hữu ích trong các kỳ kiểm tra. Với chiếc máy tính CASIO FX-580VN X, bạn có thể tiết kiệm được rất nhiều thời gian giải toán nhờ việc bỏ qua những bước tính tay dễ xảy ra sai sót như tính tích, tổng, bảng số 2 hàm…T</li>
<li>Máy tính CASIO FX-580VN X có dung lượng bộ nhớ lớn, công suất xử lý đến 160 mục dữ liệu thống kê. Đây là một con số ấn tượng mà không phải chiếc máy tính khoa học cầm tay nào cũng có thể làm được.</li>
<li>Ngoài ra, chiếc FX-580VN X nói riêng và dòng máy ClassWiz nói chung sở hữu chức năng hiệu suất cao với 2 tính năng nổi trội là sử dụng bảng tính và phép tính ma trận 4 x 4. Đây là chức năng cải tiến mới, mang lại nhiều lợi ích vượt trội và chỉ xuất hiện tại dòng ClassWiz mà thôi.<br /><br /><img src=""https://salt.tikicdn.com/ts/tmp/80/c6/a7/f21620df26ec84c8e3383867be9569af.jpg"" alt="""" width=""645"" height=""893"" /></li>
</ul><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>",Máy Tính Khoa Học Casio FX-580VN X,1470,5791,769000,738200
